mixbench/read-only (v0.02)
------------------------ Device specifications ------------------------
Device:              GeForce GTX 660
CUDA driver version: 7.50
GPU clock rate:      1097 MHz
Memory clock rate:   1502 MHz
Memory bus width:    192 bits
WarpSize:            32
L2 cache size:       384 KB
Total global mem:    2039 MB
ECC enabled:         No
Compute Capability:  3.0
Total SPs:           960 (5 MPs x 192 SPs/MP)
Compute throughput:  2107.20 GFlops (theoretical single precision FMAs)
Memory bandwidth:    144.19 GB/sec
-----------------------------------------------------------------------
Total GPU memory 2138861568, free 2045747200
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    1.16,   28.99, 115.96,      0.125,    2.30,   14.59, 116.72,     0.250,    1.16,   28.98, 115.90
            1,      0.750,    1.16,   86.58, 115.44,      0.375,    2.30,   43.73, 116.60,     0.750,    1.19,   84.40, 112.54
            2,      1.250,    1.19,  141.09, 112.87,      0.625,    2.55,   65.73, 105.18,     1.250,    1.16,  144.91, 115.93
            3,      1.750,    1.16,  202.79, 115.88,      0.875,    3.27,   71.74,  81.99,     1.750,    1.15,  203.36, 116.21
            4,      2.250,    1.15,  261.50, 116.22,      1.125,    4.07,   74.14,  65.90,     2.250,    1.28,  236.39, 105.06
            5,      2.750,    1.15,  319.85, 116.31,      1.375,    4.88,   75.64,  55.01,     2.750,    1.40,  263.03,  95.65
            6,      3.250,    1.15,  377.83, 116.26,      1.625,    5.68,   76.83,  47.28,     3.250,    1.60,  272.17,  83.75
            7,      3.750,    1.22,  411.06, 109.61,      1.875,    6.50,   77.39,  41.27,     3.750,    1.79,  280.60,  74.83
            8,      4.250,    1.15,  494.16, 116.27,      2.125,    7.30,   78.19,  36.79,     4.250,    1.99,  286.14,  67.33
            9,      4.750,    1.16,  550.91, 115.98,      2.375,    8.11,   78.64,  33.11,     4.750,    2.20,  289.69,  60.99
           10,      5.250,    1.16,  608.42, 115.89,      2.625,    8.89,   79.30,  30.21,     5.250,    2.40,  293.60,  55.92
           11,      5.750,    1.16,  665.65, 115.77,      2.875,    9.73,   79.29,  27.58,     5.750,    2.60,  297.35,  51.71
           12,      6.250,    1.16,  724.58, 115.93,      3.125,   10.53,   79.70,  25.50,     6.250,    2.80,  299.63,  47.94
           13,      6.750,    1.15,  784.58, 116.23,      3.375,   11.31,   80.08,  23.73,     6.750,    3.00,  301.54,  44.67
           14,      7.250,    1.16,  841.86, 116.12,      3.625,   12.15,   80.10,  22.10,     7.250,    3.21,  302.80,  41.77
           15,      7.750,    1.16,  899.99, 116.13,      3.875,   12.97,   80.20,  20.70,     7.750,    3.41,  305.41,  39.41
           16,      8.250,    1.16,  954.14, 115.65,      4.125,   13.36,   82.90,  20.10,     8.250,    3.32,  333.15,  40.38
           17,      8.750,    1.16, 1015.53, 116.06,      4.375,   13.41,   87.57,  20.02,     8.750,    3.50,  335.61,  38.36
           18,      9.250,    1.15, 1075.79, 116.30,      4.625,   14.15,   87.75,  18.97,     9.250,    3.67,  337.90,  36.53
           20,     10.250,    1.15, 1191.27, 116.22,      5.125,   15.64,   87.94,  17.16,    10.250,    4.06,  338.91,  33.06
           22,     11.250,    1.16, 1303.77, 115.89,      5.625,   17.15,   88.07,  15.66,    11.250,    4.42,  341.51,  30.36
           24,     12.250,    1.19, 1381.89, 112.81,      6.125,   18.64,   88.21,  14.40,    12.250,    4.79,  343.15,  28.01
           28,     14.250,    1.29, 1482.62, 104.04,      7.125,   21.69,   88.18,  12.38,    14.250,    5.54,  345.23,  24.23
           32,     16.250,    1.43, 1524.95,  93.84,      8.125,   24.70,   88.30,  10.87,    16.250,    6.30,  346.36,  21.31
           40,     20.250,    1.71, 1592.83,  78.66,     10.125,   30.70,   88.54,   8.74,    20.250,    7.79,  348.97,  17.23
           48,     24.250,    1.99, 1637.08,  67.51,     12.125,   36.63,   88.86,   7.33,    24.250,    9.27,  351.15,  14.48
           56,     28.250,    2.27, 1672.28,  59.20,     14.125,   42.65,   88.89,   6.29,    28.250,   10.76,  352.44,  12.48
           64,     32.250,    2.57, 1686.59,  52.30,     16.125,   48.64,   89.00,   5.52,    32.250,   12.24,  353.59,  10.96
           80,     40.250,    3.12, 1729.49,  42.97,     20.125,   60.53,   89.25,   4.43,    40.250,   15.24,  354.53,   8.81
           96,     48.250,    3.70, 1748.02,  36.23,     24.125,   72.47,   89.36,   3.70,    48.250,   18.21,  355.54,   7.37
          128,     64.250,    4.82, 1789.53,  27.85,     32.125,   96.35,   89.50,   2.79,    64.250,   24.21,  356.21,   5.54
          192,     96.250,    7.14, 1809.79,  18.80,     48.125,  144.18,   89.60,   1.86,    96.250,   36.15,  357.38,   3.71
          256,    128.250,    9.70, 1774.71,  13.84,     64.125,  192.24,   89.54,   1.40,   128.250,   48.10,  357.85,   2.79
------------------------------------------------------------------------------------------------------------------------------
